segmento,t_inicio,t_fin,a_x,b_x,c_x,d_x,a_y,b_y,c_y,d_y
1,0.00000000,0.00041649,60524.92510987,-1841.70943948,-314.79961480,61.09203871,-40042.69398407,1218.45681613,-114.37445417,79.44773072
2,0.00041649,0.00083299,60524.92511183,-1766.08479336,-316.30223630,60.96061173,-40042.69398423,1168.42429553,-113.38033459,79.40030301
3,0.00083299,0.00124948,-302624.62575184,-1690.46014724,-317.74186352,60.82857204,200213.47011794,1118.39177494,-112.42789141,79.35328067
4,0.00124948,0.00166597,1149973.57809085,-2068.58337808,-319.30747931,60.69591964,-760811.18668465,1368.55437817,-111.39209543,79.30666369
5,0.00166597,0.00208247,-4297269.68670921,-631.71510058,-320.43213507,60.56265452,2843031.27662067,417.93648560,-110.64803426,79.26045208
6,0.00208247,0.00249896,16039105.16874860,-6001.06497986,-323.19464240,60.42877669,-10611313.91960138,3970.24545264,-108.82038664,79.21464584
7,0.00249896,0.00291545,-59859150.98415772,14039.46625973,-319.84670350,60.29428614,39602224.40748775,-9288.37252271,-111.03535002,79.16924496
8,0.00291545,0.00333195,131805515.63930558,-60753.30881418,-339.30269790,60.15918289,-87201230.27624798,40193.79041876,-98.16345585,79.12424944
9,0.00333195,0.00374844,-175625483.85247126,103934.96562060,-321.31783459,60.01684961,116192089.43118592,-68762.34903511,-110.06206419,79.08403723
10,0.00374844,0.00416493,187367008.93379575,-115505.45568611,-326.13686419,59.88836366,-123960166.72978593,76417.27124542,-106.87384170,79.03466378
11,0.00416493,0.00458142,-190513141.04592329,118605.75914162,-324.84560911,59.74603038,126041616.76865757,-78468.40146984,-107.72812334,78.99445157
12,0.00458142,0.00499792,191356144.41340595,-119436.48289827,-325.19159984,59.61754443,-126599339.62554449,79018.00015697,-107.49921926,78.94507811
13,0.00499792,0.00541441,-191582025.77140650,119659.07446959,-325.09889199,59.47521116,126748781.01461278,-79165.26468128,-107.56055392,78.90486590
14,0.00541441,0.00583090,191642547.83573017,-119718.71699823,-325.12373269,59.34672520,-126788823.71419729,79204.72409166,-107.54411935,78.85549244
15,0.00583090,0.00624740,-191658754.73471761,119734.69554121,-325.11707774,59.20439193,126799553.12327105,-79215.29720888,-107.54852298,78.81528023
